"geocode","Municipio","value"
2500106,"Água Branca","0.71"
2500205,"Aguiar","0.56"
2500304,"Alagoa Grande","0.81"
2500403,"Alagoa Nova","0.86"
2500502,"Alagoinha","0.92"
2500536,"Alcantil","0.82"
2500577,"Algodão de Jandaíra","0.95"
2500601,"Alhandra","0.79"
2500734,"Amparo","0.82"
2500775,"Aparecida","0.91"
2500809,"Araçagi","0.93"
2500908,"Arara","0.81"
2501005,"Araruna","0.87"
2501104,"Areia","0.79"
2501153,"Areia de Baraúnas","0.77"
2501203,"Areial","0.96"
2501302,"Aroeiras","0.77"
2501351,"Assunção","0.87"
2501401,"Baía da Traição","0.82"
2501500,"Bananeiras","0.77"
2501534,"Baraúna","0.91"
2501609,"Barra de Santa Rosa","0.93"
2501575,"Barra de Santana","0.93"
2501708,"Barra de São Miguel","0.99"
2501807,"Bayeux","0.87"
2501906,"Belém","0.69"
2502003,"Belém do Brejo do Cruz","0.57"
2502052,"Bernardino Batista","0.82"
2502102,"Boa Ventura","0.78"
2502151,"Boa Vista","0.87"
2502201,"Bom Jesus","0.85"
2502300,"Bom Sucesso","0.60"
2502409,"Bonito de Santa Fé","0.76"
2502508,"Boqueirão","0.77"
2502706,"Borborema","0.93"
2502805,"Brejo do Cruz","0.74"
2502904,"Brejo dos Santos","0.81"
2503001,"Caaporã","0.75"
2503100,"Cabaceiras","0.77"
2503209,"Cabedelo","0.78"
2503308,"Cachoeira dos Índios","0.92"
2503407,"Cacimba de Areia","0.75"
2503506,"Cacimba de Dentro","0.89"
2503555,"Cacimbas","0.86"
2503605,"Caiçara","0.91"
2503704,"Cajazeiras","0.38"
2503753,"Cajazeirinhas","0.66"
2503803,"Caldas Brandão","0.81"
2503902,"Camalaú","0.95"
2504009,"Campina Grande","0.35"
2504033,"Capim","0.91"
2504074,"Caraúbas","0.93"
2504108,"Carrapateira","0.95"
2504157,"Casserengue","0.93"
2504207,"Catingueira","0.65"
2504306,"Catolé do Rocha","0.65"
2504355,"Caturité","0.90"
2504405,"Conceição","0.66"
2504504,"Condado","0.86"
2504603,"Conde","0.69"
2504702,"Congo","0.87"
2504801,"Coremas","0.62"
2504850,"Coxixola","0.91"
2504900,"Cruz do Espírito Santo","0.94"
2505006,"Cubati","0.82"
2505105,"Cuité","0.60"
2505238,"Cuité de Mamanguape","0.89"
2505204,"Cuitegi","0.91"
2505279,"Curral de Cima","0.86"
2505303,"Curral Velho","0.89"
2505352,"Damião","0.90"
2505402,"Desterro","0.91"
2505600,"Diamante","0.89"
2505709,"Dona Inês","0.80"
2505808,"Duas Estradas","0.79"
2505907,"Emas","0.98"
2506004,"Esperança","0.76"
2506103,"Fagundes","0.95"
2506202,"Frei Martinho","0.51"
2506251,"Gado Bravo","0.92"
2506301,"Guarabira","0.43"
2506400,"Gurinhém","0.91"
2506509,"Gurjão","0.75"
2506608,"Ibiara","0.70"
2502607,"Igaracy","0.77"
2506707,"Imaculada","0.90"
2506806,"Ingá","0.80"
2506905,"Itabaiana","0.60"
2507002,"Itaporanga","0.64"
2507101,"Itapororoca","0.87"
2507200,"Itatuba","0.96"
2507309,"Jacaraú","0.87"
2507408,"Jericó","0.94"
2507507,"João Pessoa","0.33"
2513653,"Joca Claudino","0.89"
2507606,"Juarez Távora","0.92"
2507705,"Juazeirinho","0.85"
2507804,"Junco do Seridó","0.94"
2507903,"Juripiranga","0.80"
2508000,"Juru","0.78"
2508109,"Lagoa","1.00"
2508208,"Lagoa de Dentro","0.62"
2508307,"Lagoa Seca","0.83"
2508406,"Lastro","0.42"
2508505,"Livramento","0.94"
2508554,"Logradouro","0.80"
2508604,"Lucena","0.88"
2508703,"Mãe d'Água","0.89"
2508802,"Malta","0.95"
2508901,"Mamanguape","0.59"
2509008,"Manaíra","0.87"
2509057,"Marcação","0.88"
2509107,"Mari","0.85"
2509156,"Marizópolis","0.97"
2509206,"Massaranduba","0.67"
2509305,"Mataraca","0.85"
2509339,"Matinhas","0.95"
2509370,"Mato Grosso","0.91"
2509396,"Maturéia","0.94"
2509404,"Mogeiro","0.91"
2509503,"Montadas","0.96"
2509602,"Monte Horebe","0.98"
2509701,"Monteiro","0.46"
2509800,"Mulungu","0.92"
2509909,"Natuba","0.80"
2510006,"Nazarezinho","0.91"
2510105,"Nova Floresta","0.84"
2510204,"Nova Olinda","0.65"
2510303,"Nova Palmeira","0.89"
2510402,"Olho d'Água","0.94"
2510501,"Olivedos","0.91"
2510600,"Ouro Velho","0.75"
2510659,"Parari","0.94"
2510709,"Passagem","0.78"
2510808,"Patos","0.48"
2510907,"Paulista","0.72"
2511004,"Pedra Branca","0.87"
2511103,"Pedra Lavrada","0.71"
2511202,"Pedras de Fogo","0.80"
2512721,"Pedro Régis","0.95"
2511301,"Piancó","0.00"
2511400,"Picuí","0.37"
2511509,"Pilar","0.77"
2511608,"Pilões","0.92"
2511707,"Pilõezinhos","0.94"
2511806,"Pirpirituba","0.97"
2511905,"Pitimbu","0.92"
2512002,"Pocinhos","0.69"
2512036,"Poço Dantas","0.88"
2512077,"Poço de José de Moura","0.95"
2512101,"Pombal","0.53"
2512200,"Prata","0.84"
2512309,"Princesa Isabel","0.51"
2512408,"Puxinanã","0.94"
2512507,"Queimadas","0.81"
2512606,"Quixabá","0.96"
2512705,"Remígio","0.87"
2512747,"Riachão","0.85"
2512754,"Riachão do Bacamarte","0.92"
2512762,"Riachão do Poço","1.00"
2512788,"Riacho de Santo Antônio","0.60"
2512804,"Riacho dos Cavalos","0.84"
2512903,"Rio Tinto","0.87"
2513000,"Salgadinho","0.94"
2513109,"Salgado de São Félix","0.94"
2513158,"Santa Cecília","0.97"
2513208,"Santa Cruz","0.76"
2513307,"Santa Helena","0.89"
2513356,"Santa Inês","0.72"
2513406,"Santa Luzia","0.55"
2513703,"Santa Rita","0.64"
2513802,"Santa Teresinha","0.83"
2513505,"Santana de Mangueira","0.91"
2513604,"Santana dos Garrotes","0.87"
2513851,"Santo André","0.69"
2513927,"São Bentinho","0.84"
2513901,"São Bento","0.77"
2513968,"São Domingos","0.97"
2513943,"São Domingos do Cariri","0.77"
2513984,"São Francisco","0.88"
2514008,"São João do Cariri","0.83"
2500700,"São João do Rio do Peixe","0.80"
2514107,"São João do Tigre","0.90"
2514206,"São José da Lagoa Tapada","0.84"
2514305,"São José de Caiana","0.79"
2514404,"São José de Espinharas","0.87"
2514503,"São José de Piranhas","0.85"
2514552,"São José de Princesa","0.91"
2514602,"São José do Bonfim","0.94"
2514651,"São José do Brejo do Cruz","0.82"
2514701,"São José do Sabugi","0.70"
2514800,"São José dos Cordeiros","0.98"
2514453,"São José dos Ramos","0.91"
2514909,"São Mamede","0.45"
2515005,"São Miguel de Taipu","0.83"
2515104,"São Sebastião de Lagoa de Roça","0.92"
2515203,"São Sebastião do Umbuzeiro","0.86"
2515401,"São Vicente do Seridó","0.77"
2515302,"Sapé","0.80"
2515500,"Serra Branca","0.64"
2515609,"Serra da Raiz","0.89"
2515708,"Serra Grande","0.53"
2515807,"Serra Redonda","0.87"
2515906,"Serraria","0.69"
2515930,"Sertãozinho","0.93"
2515971,"Sobrado","0.96"
2516003,"Solânea","0.79"
2516102,"Soledade","0.75"
2516151,"Sossêgo","0.96"
2516201,"Sousa","0.62"
2516300,"Sumé","0.73"
2516409,"Tacima","1.00"
2516508,"Taperoá","0.57"
2516607,"Tavares","0.79"
2516706,"Teixeira","0.77"
2516755,"Tenório","0.92"
2516805,"Triunfo","0.88"
2516904,"Uiraúna","0.54"
2517001,"Umbuzeiro","0.84"
2517100,"Várzea","0.71"
2517209,"Vieirópolis","0.88"
2505501,"Vista Serrana","0.92"
2517407,"Zabelê","0.89"
